F1,R,P
0.82431155,0.83512807,0.8137716
0.8272768,0.82020223,0.83447444
0.80501026,0.8189821,0.7915072
0.8264531,0.83816767,0.8150614
0.80502355,0.8160932,0.79425013
0.81792766,0.8316326,0.8046671
0.81882864,0.80970794,0.8281572
0.8060087,0.8085707,0.80346286
0.8147075,0.822519,0.80704296
0.84491056,0.86794615,0.8230661
0.8394778,0.8471192,0.83197296
0.8317536,0.8300771,0.83343685
0.8137614,0.8151579,0.8123697
0.81532073,0.81762123,0.8130331
0.81295717,0.8047959,0.82128567
0.82295704,0.8219942,0.8239222
0.8335626,0.83542645,0.8317071
0.82492656,0.8249552,0.8248978
0.81158966,0.8047009,0.8185974
0.8262737,0.8329791,0.8196753
0.8318461,0.83530927,0.8284116
0.8155225,0.8239809,0.80723596
0.8155225,0.8239809,0.80723596
0.8306502,0.85039985,0.81179714
0.8367783,0.8405907,0.83300036
0.8115519,0.8129978,0.8101111
0.81636435,0.8180939,0.8146421
0.8278715,0.83467734,0.8211759
0.832804,0.8332336,0.832375
0.83899266,0.8388047,0.8391807
0.80284154,0.81439936,0.79160714
0.8376687,0.84266347,0.8327328
0.8313737,0.84356666,0.8195283
0.8163474,0.8141882,0.8185182
0.80543876,0.80706954,0.80381453
0.8414271,0.85074764,0.83230853
0.81314653,0.8224471,0.80405396
0.82390904,0.8254894,0.8223348
0.8127386,0.80393535,0.8217368
0.8105425,0.8244501,0.7970964
0.79976046,0.7972662,0.8022705
0.82065105,0.82293534,0.8183794
0.8259432,0.8308817,0.821063
0.8238878,0.8270582,0.8207417
0.8179184,0.8134024,0.8224849
0.8038608,0.79352957,0.8144645
0.8372584,0.84399647,0.83062714
0.81984633,0.8302924,0.8096599
0.8341404,0.83282244,0.83546257
0.8163133,0.80880934,0.82395786
0.8231889,0.82262117,0.8237574
0.80636734,0.82932836,0.7846436
0.8279576,0.8352926,0.82075024
0.7932211,0.8031415,0.7835429
0.81027174,0.81331015,0.807256
0.8377548,0.83747786,0.83803195
0.83465546,0.83929324,0.83006865
0.8354001,0.84376675,0.82719773
0.8304839,0.8354107,0.8256148
0.8140141,0.8229246,0.8052944
0.79189146,0.78941727,0.7943813
0.8213409,0.8343077,0.8087711
0.8270902,0.8359712,0.8183959
0.81469125,0.8098544,0.81958616
0.8154541,0.8114227,0.8195258
0.8166838,0.826177,0.80740637
0.8315159,0.85658526,0.8078723
0.82866424,0.8364094,0.82106113
0.82287204,0.82833934,0.8174765
0.84375626,0.8510374,0.8365987
0.7980518,0.8144362,0.7823136
0.8248299,0.82017225,0.8295406
0.81595194,0.8129891,0.81893647
0.8178284,0.82503134,0.8107502
0.8035254,0.799488,0.80760366
0.8205915,0.8279264,0.81338537
0.83455634,0.8391842,0.82997924
0.8125261,0.8190984,0.80605847
0.8056522,0.81197655,0.79942566
0.82570183,0.8251302,0.82627416
0.8147101,0.8215306,0.8080018
0.7870374,0.8134839,0.7622564
0.8113147,0.82436687,0.79866934
0.80086887,0.80380225,0.7979568
0.8264808,0.8301851,0.82280946
0.83133173,0.82205653,0.84081864
0.8132836,0.8192493,0.80740434
0.7955764,0.81172174,0.78006077
0.8127332,0.8192066,0.80636126
0.8187523,0.81158614,0.8260461
0.8128113,0.82082015,0.80495715
0.81028795,0.8256778,0.79546136
0.80870306,0.8255882,0.79249465
0.8268776,0.8263656,0.8273902
0.81440693,0.8089152,0.81997377
0.81787187,0.81844896,0.81729543
0.8205345,0.81897414,0.82210076
0.8416405,0.8453853,0.8379288
0.8105731,0.82088864,0.80051357
0.81974137,0.81786066,0.8216308
0.8224985,0.82961285,0.81550497
0.81012297,0.82408553,0.7966256
0.83010995,0.82942325,0.8307977
0.8002482,0.81057584,0.7901805
0.8113314,0.82372034,0.7993096
0.8315431,0.8425826,0.82078904
0.83951956,0.84943724,0.82983077
0.818446,0.81898654,0.8179061
0.80865014,0.8122871,0.8050456
0.83370346,0.8372573,0.8301797
0.8179288,0.81861144,0.81724715
0.8232933,0.82212406,0.82446593
0.82836974,0.8315457,0.8252179
0.8405408,0.83357865,0.8476203
0.80087996,0.80584264,0.79597795
0.8417651,0.85315716,0.83067316
0.81473064,0.8190457,0.8104608
0.82816553,0.8306355,0.8257102
0.8150099,0.8110552,0.81900334
0.834476,0.83697695,0.83199006
0.821761,0.8237133,0.819818
0.8199328,0.81482387,0.82510626
0.81686354,0.8157938,0.8179361
0.81628764,0.80809736,0.8246456
0.81093466,0.8274749,0.7950427
0.82046866,0.82337224,0.81758547
0.8236433,0.8249186,0.82237196
0.8178337,0.8243954,0.8113758
0.81338894,0.81990266,0.80697787
0.815144,0.82122767,0.80914986
0.83079034,0.83422667,0.8273821
0.8177178,0.82053226,0.81492245
0.81651896,0.8179649,0.81507796
0.82024086,0.8247651,0.81576604
0.7998151,0.80720216,0.79256207
0.81743723,0.82353675,0.8114274
0.8394456,0.8566162,0.82294977
0.7872931,0.7978052,0.77705437
0.81957746,0.84955174,0.79164624
0.81847775,0.818324,0.81863153
0.8319602,0.836856,0.82712126
0.8323977,0.8499453,0.81556004
0.8151039,0.8101536,0.82011515
0.8073572,0.802943,0.8118201
0.8348536,0.8357348,0.8339743
0.83327866,0.8359315,0.8306427
0.8302691,0.8368024,0.8238369
0.8273624,0.8238888,0.8308654
0.8283426,0.8358943,0.8209261
0.80454195,0.79935783,0.8097938
0.7784445,0.8036465,0.7547752
0.82007325,0.8184148,0.82173854
0.8169898,0.82516634,0.80897367
0.8295152,0.8405161,0.81879854
0.8212531,0.83717763,0.8059231
0.7884049,0.7881074,0.7887026
0.8234974,0.830561,0.8165529
0.7968725,0.7985551,0.79519707
0.8306055,0.83577174,0.82550275
0.82432663,0.82415354,0.82449985
0.8111025,0.8387909,0.78518367
0.8110115,0.8152027,0.80686325
0.82852304,0.8294364,0.8276117
0.8143349,0.8247612,0.80416894
0.8240838,0.8244704,0.82369757
0.8116429,0.81619966,0.8071368
0.8418083,0.84539485,0.83825225
0.8291297,0.82982063,0.8284398
0.8202467,0.83174694,0.8090601
0.8068556,0.8117379,0.80203176
0.8193158,0.82419556,0.8144933
0.82824624,0.8338799,0.82268834
0.82393587,0.8243808,0.8234914
0.8299859,0.83221936,0.8277645
0.8288652,0.83047384,0.82726276
0.8277435,0.8281076,0.82737964
0.83928573,0.83675003,0.84183687
0.8183037,0.81691545,0.81969666
0.8259567,0.8554851,0.7983988
0.8268075,0.8312092,0.8224521
0.801158,0.8033917,0.7989367
0.8345765,0.84319794,0.82612956
0.8349861,0.8385883,0.83141464
0.82036287,0.82446915,0.8162974
0.819278,0.8313913,0.80751264
0.82500595,0.822242,0.8277886
0.8250486,0.825113,0.82498425
0.81775707,0.8231788,0.8124063
0.839528,0.84081113,0.83824885
0.81981647,0.8273033,0.81246406
0.816154,0.82591116,0.8066246
0.8160607,0.81616485,0.81595653
0.8155985,0.82469565,0.8066999
0.8196037,0.82659036,0.81273425
0.8270467,0.83286417,0.8213098
0.8285153,0.83089095,0.82615316
0.8342569,0.86511946,0.80552053
0.8308538,0.8405584,0.8213709
0.83393794,0.8308656,0.83703303
0.82873064,0.82967407,0.8277893
0.8279771,0.8365896,0.81954026
0.8156954,0.807275,0.8242933
0.8435687,0.86967796,0.81898147
0.8124536,0.81343484,0.8114747
0.82083535,0.82783633,0.81395173
0.8218306,0.81467396,0.8291141
0.8463666,0.85192263,0.84088254
0.7858798,0.79232955,0.7795342
0.82887685,0.834331,0.82349354
0.82921535,0.84038144,0.81834203
0.86343306,0.90570986,0.824927
0.833798,0.8435336,0.8242847
0.8262313,0.82877994,0.8236983
0.8201812,0.8351989,0.8056939
0.8286247,0.83352154,0.82378495
0.84800345,0.84900594,0.8470032
0.8329668,0.83796364,0.8280293
0.8150034,0.8122977,0.817727
0.83540684,0.85200566,0.8194424
0.8300504,0.8315785,0.8285279
0.8159788,0.81369704,0.81827354
0.8089336,0.81177914,0.80610806
0.8235591,0.82574975,0.82138014
0.8043445,0.80435663,0.8043324
0.79226977,0.8030752,0.7817513
0.81032413,0.83806103,0.78436446
0.8150427,0.8300348,0.8005824
0.80106735,0.8084263,0.7938411
0.8219201,0.82926124,0.8147078
0.84144944,0.8384902,0.8444296
0.8133978,0.8143821,0.81241596
0.8104103,0.81203234,0.8087948
0.8101913,0.81566125,0.8047941
0.83439314,0.83525693,0.833531
0.81729084,0.82494485,0.8097775
0.81710225,0.81705946,0.817145
0.85186833,0.8804508,0.82508326
0.795125,0.80379367,0.78664136
0.8230589,0.8211301,0.8249968
0.80845594,0.80051714,0.8165538
0.82233644,0.820969,0.82370853
0.8221743,0.822645,0.82170415
0.80606973,0.80591935,0.8062203
0.81866944,0.83129746,0.8064195
0.808167,0.8150913,0.8013594
0.82102525,0.8207307,0.82132006
0.8240304,0.82131517,0.8267637
0.8292873,0.8409847,0.8179108
0.8124673,0.8140368,0.8109038
0.8063417,0.8132509,0.799549
0.8335765,0.8371206,0.83006227
0.82342386,0.8433429,0.8044241
0.7929852,0.7973826,0.78863597
0.81931806,0.8252111,0.8135085
0.82146615,0.822714,0.82022214
0.8125873,0.82007587,0.8052343
0.827204,0.8279836,0.8264258
0.8009896,0.7984557,0.8035396
0.8113574,0.8147098,0.8080325
0.82614106,0.8291108,0.8231926
0.8265271,0.8195763,0.83359677
0.82816374,0.83404624,0.8223636
0.82597995,0.8252029,0.8267586
0.8193088,0.8153869,0.82326865
0.8205304,0.8339493,0.8075365
0.8372286,0.8425547,0.8319694
0.81707937,0.8177418,0.816418
0.81879413,0.8081598,0.8297121
0.82032627,0.8232027,0.81746984
0.82732266,0.8315249,0.82316256
