F1,R,P
0.8169672,0.8372045,0.7976852
0.7946941,0.82529193,0.76628405
0.78047645,0.81356466,0.7499745
0.7873987,0.807122,0.7686164
0.81785816,0.8432177,0.7939795
0.7997271,0.8175552,0.78266
0.79549426,0.82513976,0.7679051
0.7960264,0.8250809,0.7689486
0.8037755,0.8251447,0.78348523
0.81650245,0.8481053,0.78717023
0.8150184,0.8510028,0.7819537
0.8034528,0.84868115,0.7628012
0.80163115,0.8316119,0.77373695
0.82098985,0.8283933,0.8137176
0.8171052,0.84054005,0.7949417
0.81124276,0.8297766,0.79351884
0.81020975,0.8475927,0.775985
0.795684,0.8354543,0.7595281
0.79807425,0.8381801,0.7616312
0.8062287,0.84071934,0.7744565
0.8062689,0.8405879,0.7746422
0.7958277,0.82756615,0.7664337
0.7917097,0.8241571,0.76172054
0.82517207,0.85541564,0.796994
0.8041356,0.8284414,0.7812154
0.80111426,0.829958,0.77420795
0.8150135,0.8340698,0.7968086
0.8084174,0.83570415,0.78285617
0.7956137,0.82818687,0.76550573
0.80677146,0.8261244,0.78830445
0.79558164,0.8295258,0.7643062
0.82183206,0.84861016,0.7966923
0.81592196,0.84252876,0.7909443
0.8029261,0.83184385,0.7759514
0.7784336,0.7990789,0.7588283
0.8181921,0.83746946,0.79978234
0.79558676,0.82534283,0.76790166
0.80164003,0.83135045,0.7739799
0.8140811,0.81729513,0.8108922
0.79712534,0.8298179,0.76691115
0.80721396,0.8105253,0.80392957
0.8104399,0.8154748,0.80546665
0.8097106,0.83096206,0.7895191
0.81674623,0.8360773,0.79828894
0.7988233,0.8136337,0.78454256
0.813412,0.83166504,0.795943
0.8067392,0.84409994,0.77254546
0.793691,0.81897956,0.76991725
0.8199158,0.8453458,0.7959709
0.8078849,0.83196604,0.7851586
0.79689604,0.80518067,0.7887801
0.8058586,0.8335137,0.7799797
0.8093866,0.82964003,0.79009837
0.79133385,0.8206514,0.7640388
0.79514873,0.8284181,0.76444846
0.7985412,0.81293666,0.7846467
0.79650027,0.8258333,0.76917946
0.8229283,0.82318306,0.8226738
0.80084705,0.81910574,0.7833845
0.8117998,0.8155818,0.80805266
0.8020697,0.8334065,0.7730042
0.8046549,0.83347714,0.77775943
0.7777231,0.7889044,0.7668541
0.79754996,0.804272,0.79093945
0.8006293,0.8277291,0.7752479
0.79318386,0.81492424,0.7725734
0.8052732,0.83814967,0.77487844
0.8221726,0.8551353,0.7916567
0.81465155,0.8497492,0.78233814
0.80589724,0.82822186,0.78474444
0.7907044,0.8183528,0.7648633
0.8072411,0.8121743,0.80236727
0.8051993,0.8185755,0.7922533
0.8048762,0.8160631,0.7939919
0.8106326,0.8402034,0.7830725
0.79512054,0.8151953,0.77601075
0.8056761,0.83258337,0.7804537
0.817422,0.8453238,0.79130334
0.81044227,0.8526075,0.772251
0.80631447,0.83148706,0.78262126
0.8106961,0.8245187,0.7973294
0.7784383,0.8205371,0.74044865
0.80964637,0.8465028,0.77586544
0.7959409,0.8146928,0.7780327
0.81133676,0.84687936,0.7786573
0.80750597,0.8271946,0.78873277
0.7935039,0.82513237,0.7642106
0.78162,0.81488514,0.75096434
0.7939608,0.81047475,0.77810645
0.7938754,0.81648195,0.772487
0.81952727,0.8502544,0.79094356
0.8109483,0.8409021,0.7830552
0.791847,0.821239,0.7644862
0.79798216,0.82603276,0.771774
0.80067486,0.8320583,0.7715728
0.7853193,0.8033653,0.7680662
0.78184336,0.7961919,0.7680028
0.7818599,0.7903212,0.77357787
0.8110848,0.8290768,0.7938571
0.7928131,0.8163157,0.770626
0.8232747,0.8585194,0.79080963
0.8063712,0.84280735,0.7729549
0.80734766,0.81880546,0.796206
0.81418884,0.8221116,0.80641735
0.80761564,0.84266424,0.7753661
0.82495826,0.8664768,0.7872366
0.8086456,0.8202566,0.79735875
0.8208372,0.8339696,0.8081119
0.805737,0.8357099,0.7778396
0.80814326,0.8265378,0.7905497
0.801374,0.81937426,0.7841477
0.82362163,0.85241425,0.79671055
0.80789995,0.83639026,0.78128666
0.81336653,0.82754374,0.7996669
0.7893031,0.81068945,0.76901615
0.82759786,0.8610987,0.79660594
0.81752616,0.8414637,0.79491293
0.8105586,0.8341384,0.78827536
0.81765133,0.83734185,0.7988656
0.8069285,0.8256151,0.78906906
0.8107095,0.8259373,0.7960331
0.8126055,0.8327141,0.7934452
0.8217349,0.83052826,0.8131258
0.80874366,0.82700104,0.79127496
0.7856057,0.82005984,0.75393
0.7903766,0.811913,0.7699531
0.8082075,0.8313174,0.78634775
0.8083929,0.810194,0.80659974
0.8082579,0.8355933,0.7826543
0.7832622,0.82957006,0.7418509
0.8176402,0.8426102,0.7941075
0.7864479,0.8083606,0.7656918
0.80793923,0.8245321,0.7920011
0.7940435,0.8037728,0.7845469
0.79325426,0.8396797,0.75169367
0.8029744,0.83027595,0.7774112
0.8088533,0.828456,0.79015696
0.8013068,0.8288036,0.775576
0.81300867,0.84710157,0.78155375
0.80493075,0.8296746,0.78162
0.8174001,0.84407854,0.7923565
0.8060522,0.8356596,0.778471
0.8232124,0.85443485,0.79419124
0.7975893,0.8060222,0.78933096
0.8161788,0.84267074,0.7913019
