F1,R,P
0.77513885,0.7689345,0.7814441
0.77399635,0.7719373,0.7760664
0.7752784,0.7789147,0.771676
0.79324347,0.80188966,0.7847817
0.77373934,0.7750868,0.7723966
0.7681174,0.76763624,0.7685992
0.76527727,0.7622671,0.7683113
0.76393443,0.77159023,0.7564291
0.78922457,0.80244327,0.7764343
0.78796077,0.8164732,0.76137245
0.8136297,0.83347535,0.7947072
0.7837323,0.77417314,0.79353046
0.7721166,0.77224296,0.77199024
0.8029785,0.8175335,0.78893274
0.78345406,0.7746337,0.7924776
0.792385,0.7859647,0.798911
0.78897667,0.79419917,0.7838224
0.79710037,0.808069,0.7864256
0.78939205,0.78960264,0.7891816
0.79639125,0.8154109,0.77823865
0.7862691,0.7951133,0.7776195
0.77227986,0.77428854,0.77028155
0.77227986,0.77428854,0.77028155
0.7691792,0.7648337,0.7735745
0.7912542,0.7874404,0.7951052
0.7823795,0.7851991,0.77958006
0.79265165,0.8011794,0.7843034
0.814428,0.81952316,0.8093958
0.8030839,0.8136835,0.7927568
0.79437256,0.7959009,0.7928502
0.7684042,0.77460754,0.7622994
0.79026234,0.79782313,0.7828435
0.7996967,0.81800973,0.7821857
0.78220594,0.78003937,0.7843845
0.76336515,0.7749219,0.75214803
0.79533535,0.8063816,0.78458756
0.7637379,0.76848227,0.75905174
0.79849255,0.80693114,0.79022855
0.795552,0.7862646,0.80506146
0.788517,0.7986331,0.778654
0.7538415,0.7481096,0.759662
0.83031756,0.84335244,0.8176794
0.81741303,0.8318359,0.8034817
0.77513605,0.77174324,0.77855897
0.78291273,0.775691,0.7902702
0.78191143,0.7808534,0.7829722
0.7773729,0.7824776,0.7723344
0.7580765,0.7543312,0.7618592
0.8071489,0.82092357,0.79382885
0.79096323,0.7828425,0.7992543
0.78761464,0.798157,0.77734727
0.78752947,0.80633396,0.76958203
0.80150396,0.812699,0.7906131
0.7837374,0.7915988,0.7760307
0.7870268,0.7896896,0.78438187
0.79175,0.7903866,0.79311806
0.7992364,0.81246316,0.7864335
0.7931936,0.79414463,0.7922448
0.79785514,0.800616,0.79511315
0.7854367,0.7921247,0.77886075
0.75254565,0.7539798,0.75111693
0.79623204,0.8036412,0.7889583
0.78555,0.78403866,0.78706723
0.77825475,0.7791978,0.777314
0.7973757,0.79614127,0.7986141
0.7972789,0.795135,0.7994343
0.81331104,0.8409372,0.78744227
0.7916857,0.8099161,0.77425796
0.78452,0.7915378,0.7776255
0.81128556,0.8226417,0.80023867
0.7598076,0.7492271,0.7706913
0.7913583,0.7900914,0.79262924
0.79857254,0.8055688,0.7916967
0.7900376,0.80204606,0.7783833
0.7724163,0.77233374,0.77249897
0.77270526,0.77859485,0.7669041
0.79468286,0.79993105,0.7895029
0.8112209,0.8235149,0.79928845
0.7905811,0.8004337,0.7809681
0.7840992,0.78908014,0.7791808
0.80375767,0.8123566,0.79533887
0.7729722,0.81134784,0.7380629
0.771042,0.7828714,0.7595647
0.77229387,0.773211,0.771379
0.7920723,0.80070364,0.78362507
0.81238496,0.81470793,0.8100752
0.74948025,0.7405498,0.7586287
0.7698053,0.7938041,0.74721503
0.729553,0.70938736,0.75089854
0.7707246,0.7606993,0.7810177
0.7972243,0.80665576,0.7880108
0.79131895,0.8090633,0.7743362
0.7900648,0.80097806,0.779445
0.7886176,0.7935844,0.7837126
0.7683387,0.7618562,0.7749325
0.7814999,0.78621125,0.77684474
0.7751401,0.76746184,0.7829736
0.78309834,0.78492945,0.7812757
0.7815181,0.7850301,0.7780375
0.7719373,0.78074384,0.7633272
0.78211963,0.79005307,0.77434397
0.7684521,0.764076,0.77287865
0.7810427,0.784497,0.77761865
0.7693589,0.7794635,0.7595128
0.76837707,0.77051854,0.7662474
0.81322265,0.81732136,0.80916476
0.8324946,0.8437045,0.82157886
0.79063195,0.7879127,0.79337
0.78899586,0.7768173,0.8015625
0.7889319,0.7977088,0.78034604
0.78205425,0.7885271,0.77568674
0.80233175,0.8046378,0.8000388
0.79370505,0.8034549,0.784189
0.7829957,0.7753463,0.79079765
0.7689695,0.7630768,0.77495384
0.7899042,0.797204,0.7827368
0.8189172,0.83004665,0.80808234
0.7822924,0.78634286,0.7782834
0.7847989,0.791554,0.7781582
0.8015758,0.810231,0.79310364
0.77490056,0.77237725,0.7774405
0.7801184,0.7736618,0.7866838
0.7900953,0.7919075,0.78829134
0.77229244,0.76531506,0.7793982
0.774486,0.7792512,0.7697788
0.7952607,0.8024702,0.7881797
0.762948,0.7551689,0.7708889
0.7757378,0.7747421,0.7767361
0.78879887,0.79901606,0.7788397
0.76771635,0.78960365,0.7470097
0.80273384,0.80829144,0.7972522
0.77101576,0.7641571,0.7779988
0.7902296,0.7907118,0.7897479
0.7784058,0.7828535,0.7740083
0.7650019,0.7745546,0.75568205
0.7692877,0.7607526,0.77801645
0.7831138,0.7896466,0.7766883
0.7920344,0.7970445,0.78708684
0.8113328,0.8409882,0.78369766
0.77891225,0.787887,0.7701397
0.7775747,0.7820113,0.7731882
0.8043271,0.8112634,0.7975083
0.80426115,0.81245255,0.7962333
0.7722719,0.76771855,0.7768795
0.78653353,0.79058295,0.7825253
0.7798899,0.78299373,0.77681065
0.8010447,0.8055294,0.7966097
0.77129203,0.7753614,0.7672652
0.77132255,0.7584007,0.78469247
0.768407,0.75461143,0.78271633
0.75850046,0.7672781,0.74992144
0.7741695,0.77853185,0.76985586
0.79907715,0.81338733,0.78526175
0.79211116,0.79792213,0.7863842
0.7598942,0.7493447,0.7707451
0.7740262,0.78452384,0.7638058
0.78336114,0.7913593,0.775523
0.7767827,0.7811985,0.7724165
0.79568404,0.7967751,0.79459596
0.7762175,0.76547074,0.7872704
0.77267885,0.8079444,0.7403632
0.7779017,0.7816254,0.7742133
0.77585524,0.7715862,0.7801717
0.7783185,0.783684,0.773026
0.7676423,0.76326525,0.77206993
0.79797703,0.8051662,0.79091513
0.80213416,0.81042564,0.7940105
0.7985124,0.80908257,0.78821474
0.79110944,0.8058535,0.7768953
0.7735711,0.77419186,0.7729513
0.78382003,0.7783854,0.78933096
0.7781495,0.77603585,0.7802746
0.77621174,0.7735962,0.7788451
0.8001208,0.7959977,0.80428684
0.811404,0.8234636,0.79969245
0.76372176,0.7664967,0.76096684
0.8093239,0.81297874,0.8057019
0.7537749,0.72959393,0.77961355
0.7759948,0.7828242,0.7692835
0.78511184,0.79499054,0.7754756
0.78932405,0.8008307,0.7781434
0.79589176,0.79572463,0.79605895
0.78256756,0.7863833,0.7787887
0.76631373,0.7660413,0.7665863
0.7732408,0.77425104,0.7722332
0.791454,0.79214513,0.7907642
0.7764487,0.7777942,0.775108
0.77417284,0.7704436,0.77793837
0.76946265,0.76283383,0.7762077
0.7906058,0.7934722,0.78775996
0.77835715,0.78026575,0.7764579
0.7700832,0.76776814,0.7724121
0.7639584,0.7583802,0.7696193
0.8035191,0.81112516,0.7960543
0.77442366,0.77253056,0.77632606
0.79388684,0.80835927,0.77992356
0.8121628,0.84631103,0.7806634
0.7829328,0.7856191,0.780265
0.7975804,0.80041975,0.7947612
0.7784931,0.7813963,0.77561134
0.7937756,0.79627603,0.7912909
0.7911046,0.7950831,0.78716564
0.8032306,0.8315089,0.77681243
0.7764392,0.77770084,0.7751816
0.7789577,0.78711855,0.7709643
0.78852135,0.79223204,0.78484523
0.7937388,0.8014067,0.7862162
0.75667465,0.7546275,0.7587328
0.8058756,0.8201654,0.79207534
0.7806154,0.7864053,0.77491
0.8194206,0.88616955,0.7620228
0.80742335,0.8180333,0.79708517
0.80800265,0.81592816,0.8002296
0.78095573,0.79030496,0.7718251
0.7583118,0.7543683,0.76229686
0.7954671,0.80589944,0.7853012
0.780569,0.77381337,0.7874437
0.7749944,0.77721703,0.7727845
0.7880699,0.7962971,0.780011
0.78711903,0.78734857,0.7868896
0.77995867,0.7812068,0.7787146
0.7860176,0.77879024,0.79338026
0.77287227,0.7674782,0.7783426
0.7705739,0.77013993,0.7710084
0.7763205,0.7945263,0.7589303
0.76845324,0.76384056,0.77312195
0.78822184,0.80373496,0.77329636
0.7908272,0.79831463,0.783479
0.78471994,0.7822766,0.7871786
0.7737915,0.77411675,0.7734665
0.7928991,0.80418813,0.78192264
0.7731968,0.7622788,0.7844322
0.7763,0.77492213,0.7776829
0.78901964,0.7953038,0.78283405
0.7955212,0.80178857,0.7893511
0.78890127,0.792621,0.78521633
0.75857973,0.75021434,0.7671338
0.770563,0.7890332,0.7529376
0.77678955,0.7674448,0.7863648
0.78017503,0.7748257,0.7855987
0.78867245,0.79152167,0.78584355
0.7798395,0.77130675,0.78856325
0.77852696,0.78055114,0.77651316
0.78663766,0.7871802,0.78609586
0.76874393,0.77082866,0.7666705
0.7983124,0.80424625,0.79246557
0.7503803,0.72426605,0.7784479
0.82776546,0.840247,0.81564945
0.7625163,0.7602252,0.7648213
0.7588906,0.74797773,0.77012676
0.77740747,0.78711414,0.76793724
0.7753963,0.78746486,0.76369214
0.77655315,0.785873,0.76745176
0.7851498,0.7840641,0.7862386
0.7746071,0.7826623,0.766716
0.7799095,0.7780511,0.7817767
0.77832305,0.7773345,0.77931404
0.749181,0.7488392,0.74952304
0.7486336,0.7203808,0.77919304
0.79590905,0.80518895,0.78684056
0.8031577,0.81736994,0.7894313
0.78758776,0.78911513,0.7860663
0.7874313,0.7910469,0.78384864
0.7883204,0.7901786,0.78647095
0.7928928,0.79721564,0.78861654
0.7878409,0.79939455,0.7766166
0.7763717,0.7764511,0.77629244
0.7621674,0.7578202,0.7665648
0.75154525,0.731806,0.7723788
0.7763193,0.7778091,0.77483535
0.77675486,0.7862535,0.767483
0.7907344,0.7999238,0.78175384
0.78952867,0.7902116,0.78884697
0.7791884,0.7837977,0.77463305
0.79978955,0.8064038,0.79328287
0.7780776,0.7793133,0.7768457
0.7763484,0.77637887,0.776318
0.80434364,0.8190835,0.790125
0.75769466,0.73532665,0.7814662
0.7936331,0.7993194,0.78802705
0.7747189,0.77327925,0.77616394
0.768904,0.76939034,0.76841825
0.7780301,0.78178763,0.77430844
0.7556703,0.75398725,0.75736094
0.7566338,0.747664,0.76582146
0.80113024,0.8069878,0.7953571
0.77084994,0.7779513,0.76387703
0.80392355,0.811851,0.79614943
0.802641,0.81317586,0.79237556
0.76862156,0.765952,0.7713098
0.7868022,0.78201944,0.7916436
0.786376,0.7920735,0.7807598
0.8023018,0.8136646,0.79125214
0.76869035,0.7680603,0.76932144
0.79955435,0.81649506,0.7833023
0.79684675,0.8047132,0.78913265
0.78212506,0.7931058,0.77144426
0.7752006,0.7795201,0.7709287
0.7822081,0.7979947,0.767034
0.77547246,0.78892374,0.7624723
0.7889483,0.791975,0.7859445
0.7747529,0.764701,0.7850726
0.79901284,0.8049548,0.7931578
0.76678413,0.77858627,0.75533444
0.7906209,0.7985981,0.78280157
0.7876561,0.7898314,0.7854928
0.8120845,0.8172682,0.8069661
0.7825158,0.7942533,0.77112013
0.7961047,0.8065088,0.7859657
0.7988802,0.8071598,0.7907688
0.7880018,0.77917874,0.797027
0.7889036,0.80088913,0.77727157
0.8051692,0.81718343,0.79350317
0.79154783,0.80444515,0.7790575
0.811752,0.8251705,0.798763
0.77955294,0.772865,0.7863576
0.7872563,0.7936077,0.7810058
0.76621103,0.7484326,0.78485465
0.7931921,0.8018682,0.78470165
0.80377024,0.829137,0.77990955
0.77936685,0.7838646,0.77492034
0.782623,0.7937562,0.7717977
0.8168849,0.82836366,0.80571985
0.7500575,0.7440607,0.7561519
0.79118663,0.80047256,0.7821137
0.7814514,0.78711766,0.7758662
0.80433327,0.82631457,0.7834911
0.76290214,0.75261915,0.77347004
0.7707095,0.75775677,0.7841128
0.7614491,0.7622125,0.76068723
0.7905417,0.79401565,0.7870981
0.8039886,0.8188833,0.789626
0.786861,0.7949319,0.77895236
0.76828593,0.7715602,0.76503927
0.7972775,0.81639284,0.77903694
0.79234827,0.7953307,0.78938806
0.7980365,0.80277324,0.79335535
0.79475075,0.7944422,0.7950595
0.80340433,0.8169578,0.79029334
0.78719366,0.7969138,0.77770776
0.7768826,0.7979311,0.75691605
0.77004325,0.76530653,0.77483886
0.7847313,0.792877,0.7767512
0.7957832,0.8020958,0.7895692
0.7696167,0.75910914,0.78041923
0.7705933,0.7709501,0.7702369
0.7665917,0.76238215,0.7708481
0.75297236,0.76130754,0.7448178
0.76469624,0.7614104,0.76801056
0.79540527,0.79298085,0.79784465
0.8124444,0.83369696,0.7922484
0.8039932,0.83727187,0.7732588
0.7828846,0.7926863,0.77332234
0.8005801,0.8160326,0.7857019
0.76591814,0.7685182,0.7633355
0.7823444,0.7801316,0.7845699
0.76363856,0.7480142,0.7799296
0.7741075,0.7775303,0.77071464
0.7983786,0.8068383,0.79009455
0.7902107,0.79461384,0.78585607
0.79105437,0.7999898,0.78231627
0.7732501,0.7701117,0.7764142
0.78865457,0.78963727,0.78767437
0.7734566,0.7806522,0.7663923
0.7881839,0.78554666,0.7908391
0.7864233,0.7842432,0.7886156
0.77894664,0.77323705,0.7847413
0.7636843,0.753402,0.77425104
0.7636843,0.753402,0.77425104
0.7857961,0.7918092,0.77987367
0.765578,0.7696616,0.7615374
0.79011065,0.7901316,0.7900896
0.78926116,0.7888088,0.7897139
0.77963835,0.7808945,0.77838624
0.78520435,0.7991102,0.7717742
0.78925556,0.7875431,0.7909755
0.8071304,0.81806153,0.7964876
0.7752788,0.77671707,0.7738458
0.7947577,0.79791486,0.7916255
0.78456736,0.78610224,0.78303844
0.77079415,0.7669958,0.77463025
0.7955411,0.7937826,0.79730743
0.7801344,0.77604985,0.7842622
0.7901378,0.78507304,0.79526836
0.7675908,0.7646153,0.7705896
0.7821984,0.791557,0.77305865
0.8046768,0.8222401,0.78784806
0.75962853,0.7430943,0.7769153
0.7911156,0.8041271,0.77851844
0.79260105,0.80799484,0.77778286
0.8095134,0.8280951,0.7917474
0.78930765,0.80347383,0.7756324
0.790296,0.794636,0.7860032
0.7709793,0.7711936,0.77076507
0.7731113,0.77013814,0.77610755
0.76450086,0.76990896,0.75916815
0.7871028,0.7932182,0.781081
0.78525823,0.7885107,0.7820325
0.78219116,0.77911025,0.78529656
0.78109473,0.7842118,0.7780023
0.79057443,0.7928964,0.788266
0.790862,0.8040729,0.77807814
0.79867107,0.8129885,0.78484917
0.7902989,0.7937286,0.78689873
0.7894973,0.79419243,0.7848574
0.78321725,0.7835675,0.7828672
0.79544556,0.79879296,0.79212606
0.75611025,0.7567636,0.75545806
0.7755981,0.7736312,0.7775749
0.7751792,0.7691934,0.781259
0.7858565,0.7857497,0.7859633
0.7766679,0.78185517,0.7715491
0.8080854,0.8170391,0.79932576
0.75982493,0.7571301,0.76253915
0.780166,0.7826682,0.7776798
0.75803643,0.751564,0.76462126
0.77891773,0.77117884,0.78681356
0.7703179,0.77180934,0.7688323
0.7797987,0.78710467,0.77262706
0.7643752,0.7628336,0.7659231
0.780355,0.7798745,0.780836
0.7708652,0.7636825,0.7781843
0.7937053,0.80419093,0.7834896
0.76488703,0.76309973,0.7666828
0.77576894,0.76246744,0.7895427
0.7845972,0.7854121,0.78378403
0.79336005,0.8050007,0.78205127
0.7550021,0.744102,0.7662263
0.78952944,0.78461516,0.79450566
0.7901812,0.81038344,0.7709617
0.75197273,0.75161374,0.752332
0.78775436,0.7929541,0.7826223
0.79821974,0.80845153,0.78824365
0.7806394,0.7853127,0.7760214
0.780493,0.7807465,0.7802396
0.7823836,0.7800844,0.7846965
0.7874399,0.79183805,0.78309023
0.7967086,0.80731153,0.7863805
0.8066265,0.81603664,0.7974309
0.78935736,0.7949636,0.7838295
0.79932165,0.81243664,0.7866233
0.7611253,0.758154,0.76412004
0.79692274,0.81063,0.7836713
0.77801454,0.7855975,0.7705767
0.76549,0.7580706,0.7730561
0.78057307,0.7821959,0.77895683
0.78444284,0.79232174,0.77671915
0.79641265,0.8060839,0.78697073
0.74210435,0.73001814,0.75459754
0.80410224,0.8117274,0.79661894
0.7714962,0.77532494,0.767705
0.7955393,0.811702,0.7800076
0.78750265,0.7936913,0.7814097
0.78509486,0.78459585,0.7855945
0.773015,0.79131097,0.7555461
0.7909228,0.8039191,0.7783401
0.79990286,0.844743,0.7595831
0.7696417,0.76755214,0.77174264
0.77716935,0.7650634,0.7896645
0.7854123,0.79703355,0.7741249
0.7932885,0.8030684,0.78374404
0.7667124,0.7596321,0.773926
0.78704876,0.79325855,0.78093547
0.7854368,0.78208387,0.7888186
0.7607319,0.75031555,0.7714415
0.8086835,0.8231075,0.7947563
0.77549213,0.77092683,0.78011173
0.77794236,0.78806114,0.7680802
0.80098885,0.80733114,0.7947455
0.76968986,0.77447057,0.76496786
0.7755143,0.76995707,0.78115237
0.79754424,0.80400854,0.7911831
0.802876,0.8246066,0.78226125
0.7864369,0.79376674,0.77924114
0.8036811,0.8090019,0.7984299
0.7983727,0.806844,0.79007727
0.81844676,0.8423325,0.7958783
0.7893177,0.7964614,0.782301
0.78419995,0.79249763,0.7760743
0.7499969,0.7354147,0.765169
0.7818481,0.7790717,0.78464437
0.7898202,0.7918938,0.7877574
0.75369716,0.78110576,0.7281469
0.811096,0.8335497,0.7898203
0.81845874,0.84141904,0.7967181
0.8026441,0.8266642,0.7799803
0.7988913,0.8174672,0.7811408
0.783415,0.79217905,0.7748428
0.8046027,0.826131,0.78416795
0.79722834,0.8257065,0.7706492
0.8140153,0.8297017,0.7989111
0.79489887,0.7976035,0.7922124
0.8091765,0.8142165,0.80419844
0.79273444,0.7994023,0.786177
0.78562844,0.79156244,0.7797827
0.77838224,0.79257846,0.76468563
0.78184134,0.7781105,0.7856081
0.79257435,0.80427945,0.78120506
0.78001624,0.7826716,0.77737886
0.78595126,0.7834611,0.7884574
0.8018592,0.81529903,0.78885525
0.78698987,0.79580295,0.77836984
0.7943034,0.7959644,0.7926493
0.77103657,0.76903033,0.7730533
0.7917485,0.80892193,0.7752891
0.78889227,0.80563504,0.7728313
0.7753404,0.7858863,0.7650738
0.7753404,0.7858863,0.7650738
0.7949126,0.7971553,0.7926824
0.79184175,0.7999589,0.7838877
0.8038278,0.83387965,0.7758667
0.7922211,0.80420196,0.7805919
0.81572306,0.82117236,0.8103456
0.7956968,0.80463946,0.7869507
0.7672415,0.76142126,0.7731515
0.7823075,0.7710533,0.79389507
0.77889055,0.7795291,0.7782529
0.7984987,0.8045239,0.7925632
0.76562035,0.76319087,0.76806533
0.778251,0.78101766,0.77550393
0.7691282,0.7685176,0.7697398
0.7781985,0.7838774,0.7726013
0.79675734,0.8089685,0.7849094
0.804717,0.81500536,0.7946851
0.7789074,0.77774256,0.7800757
0.78682786,0.777809,0.7960581
0.79515046,0.7967787,0.793529
0.7788546,0.78155166,0.77617615
0.7895569,0.79052126,0.788595
0.7946474,0.8112558,0.7787053
0.79365367,0.80149233,0.7859668
0.7750407,0.7823045,0.7679105
0.78424805,0.7996163,0.76945937
0.79673874,0.81016386,0.7837512
0.77264005,0.782814,0.762727
0.7969062,0.80065584,0.79319155
0.7949085,0.81606764,0.77481896
0.78530407,0.7885485,0.78208625
0.8094061,0.8173343,0.8016302
0.7798091,0.7891633,0.7706742
0.81102884,0.83299524,0.7901912
0.777886,0.77854735,0.7772257
0.8201575,0.8377258,0.80331093
0.8160045,0.8294823,0.8029577
0.7815728,0.7834973,0.7796577
0.80541384,0.8181106,0.7931051
0.781748,0.7840218,0.7794873
0.80643165,0.8298807,0.78427136
0.79222786,0.80039775,0.78422314
0.8126277,0.8304099,0.7955911
0.7817648,0.7781078,0.7854564
0.7738864,0.7799867,0.76788074
0.7893342,0.7961986,0.78258723
0.78725934,0.78661484,0.7879049
0.7974284,0.81367487,0.78181815
0.7622934,0.7511024,0.773823
0.8162023,0.8261079,0.8065314
0.7766078,0.78078234,0.7724777
0.7815631,0.7888052,0.7744529
0.7809794,0.79128516,0.7709387
0.7883289,0.80095077,0.7760986
0.7639106,0.76070017,0.76714814
0.7530903,0.732003,0.7754286
0.75289536,0.7454085,0.7605341
0.7806747,0.7726796,0.78883696
0.7840416,0.7842597,0.7838236
0.7732675,0.7749768,0.7715658
0.7701422,0.77475536,0.76558363
0.7708658,0.7793921,0.762524
0.7580177,0.7661772,0.7500301
0.7873919,0.7986386,0.77645767
0.78110665,0.7876493,0.77467173
0.79126006,0.7957046,0.7868648
0.76219255,0.7527117,0.77191514
0.7709704,0.7701691,0.7717734
0.80966514,0.8256067,0.79432744
0.80354184,0.8117965,0.79545337
0.7649187,0.7614176,0.76845205
0.77860266,0.77716285,0.7800478
0.78961056,0.7935469,0.78571314
0.7958864,0.79564863,0.79612434
0.76804656,0.7655952,0.77051365
0.797493,0.798901,0.79608977
0.7848939,0.78600603,0.7837849
0.7766961,0.7712513,0.7822182
0.7798271,0.78280723,0.7768696
0.78505933,0.78037274,0.78980255
0.80675274,0.8119598,0.801612
0.7762524,0.77998614,0.7725543
0.7971969,0.8027032,0.79176575
0.78845775,0.7947317,0.78228205
0.7868452,0.79504716,0.7788107
0.80445486,0.805953,0.80296224
0.7748143,0.7813517,0.76838547
0.7872513,0.79133046,0.7832141
0.8091767,0.8355129,0.78445005
0.7737459,0.7568741,0.79138696
0.7837694,0.7820608,0.78548557
0.8057073,0.82211435,0.7899422
0.7667835,0.76297694,0.77062833
0.7966338,0.79799503,0.79527706
0.8098314,0.83098114,0.7897315
0.8193329,0.84927183,0.791433
0.78709114,0.8088779,0.7664473
0.7803238,0.77914333,0.78150773
0.80394745,0.81606346,0.79218596
0.7576543,0.755865,0.75945204
0.79104847,0.79004145,0.792058
0.7810884,0.788116,0.774185
0.7810884,0.788116,0.774185
0.7888679,0.79050106,0.7872414
0.7842014,0.78785074,0.78058577
0.7688954,0.7731614,0.7646763
0.77649313,0.78385663,0.7692666
0.7963772,0.80722225,0.78581965
0.78253025,0.7997432,0.7660427
0.7972592,0.808252,0.7865615
0.76762676,0.7601721,0.77522904
0.77792495,0.7771892,0.77866215
0.7830677,0.7991196,0.7676479
0.7534254,0.74669164,0.76028174
0.8053906,0.80924004,0.8015775
0.78257567,0.78188694,0.7832656
0.7806066,0.7850815,0.7761824
0.7833475,0.7869914,0.7797372
0.76811284,0.77009535,0.7661405
0.79247475,0.7956004,0.7893735
0.7950122,0.8050697,0.7852028
0.8062139,0.81654453,0.7961414
0.7796037,0.78119934,0.77801454
0.7590567,0.75612974,0.7620064
0.7497418,0.7512831,0.74820673
0.7753236,0.7725769,0.7780899
0.79110855,0.79247046,0.7897513
0.79077,0.81489664,0.76803094
0.79077,0.81489664,0.76803094
0.7929607,0.8048631,0.78140527
0.78354704,0.797444,0.77012604
0.7973999,0.8019523,0.79289895
0.82302886,0.8312099,0.8150073
0.78658557,0.78538597,0.7877888
0.7875819,0.7839212,0.7912771
0.799722,0.81257427,0.78727007
0.8131708,0.84426755,0.78428346
0.80592716,0.8250027,0.78771377
0.7744174,0.78412145,0.7649506
0.809824,0.81760114,0.8021934
0.80017936,0.8143131,0.7865278
0.80294293,0.8115125,0.7945525
0.78649884,0.78594995,0.7870485
0.78476363,0.7888179,0.7807508
0.81933695,0.8319716,0.8070803
0.79465455,0.7924342,0.7968874
0.77624357,0.7832296,0.7693812
0.7780947,0.77767956,0.77851033
0.80120134,0.8101593,0.79243916
0.8092395,0.8280567,0.79125863
0.7663819,0.7602755,0.77258736
0.76446575,0.7746484,0.75454724
0.76190704,0.7423892,0.7824789
0.7778182,0.772963,0.78273475
0.7787233,0.7796567,0.77779216
0.77679014,0.7733552,0.78025585
0.79100955,0.7972216,0.7848935
0.80231345,0.82688296,0.7791619
0.7884374,0.8000199,0.7771857
0.79369,0.8056977,0.782035
0.7925875,0.80186003,0.78352696
0.8144669,0.8195482,0.80944824
0.7823366,0.77969474,0.7849965
0.7472111,0.7467346,0.7476882
0.7837124,0.7856196,0.78181434
