F1,R,P
0.8189755,0.8241057,0.8139089
0.8103392,0.8028696,0.81794906
0.79741365,0.80238056,0.7925079
0.8059265,0.81497794,0.79707384
0.8168633,0.8257825,0.8081348
0.81246185,0.8222291,0.8029239
0.81298554,0.80674285,0.81932557
0.8244295,0.82076466,0.8281272
0.8149889,0.82295734,0.80717325
0.8274488,0.8468533,0.8089135
0.83334845,0.84763265,0.8195378
0.8119247,0.8139496,0.8099098
0.8207656,0.822844,0.8186977
0.8148795,0.8204487,0.80938536
0.813237,0.81055135,0.81594056
0.8256242,0.82676136,0.8244902
0.8215362,0.82578784,0.8173281
0.8264288,0.8291273,0.82374763
0.81478596,0.8194467,0.81017804
0.8105681,0.8143302,0.80684054
0.83400863,0.84216255,0.826011
0.80730194,0.81454676,0.80018497
0.80730194,0.81454676,0.80018497
0.8261554,0.83634436,0.81621176
0.8150762,0.8191508,0.81104183
0.8040335,0.8093573,0.79877937
0.81632024,0.81639063,0.81624985
0.8358914,0.84413505,0.8278073
0.8283387,0.8366877,0.8201547
0.8273335,0.8336782,0.8210847
0.7924189,0.79455566,0.7902937
0.82233346,0.82566637,0.8190273
0.823265,0.82607496,0.82047415
0.8185009,0.8226348,0.81440824
0.7985351,0.80433834,0.7928151
0.8309119,0.8389911,0.8229868
0.8102412,0.81436914,0.8061549
0.8148084,0.8187976,0.810858
0.8260792,0.82895917,0.8232192
0.82590973,0.8343311,0.8176567
0.8063869,0.80682725,0.80594695
0.8215596,0.8230062,0.820118
0.8383898,0.84499735,0.83188474
0.82067716,0.8255024,0.81590796
0.81109804,0.8134359,0.80877364
0.80981064,0.8023868,0.81737304
0.8351715,0.84300035,0.82748675
0.8069865,0.8148031,0.79931843
0.8244186,0.8221623,0.8266873
0.81325084,0.8051107,0.82155716
0.81339854,0.81581837,0.81099296
0.80081904,0.8059502,0.7957528
0.82306504,0.8291618,0.81705725
0.79032326,0.7975357,0.7832401
0.8077223,0.8128041,0.8027036
0.837733,0.8371297,0.83833706
0.8260173,0.82861674,0.82343405
0.8312694,0.8383422,0.824315
0.8245436,0.82974875,0.81940347
0.8114754,0.8183668,0.804699
0.8223762,0.8222059,0.8225464
0.8180079,0.81747687,0.8185396
0.82662535,0.8286536,0.8246071
0.81604236,0.8141908,0.8179024
0.81385416,0.8128346,0.8148763
0.8259788,0.831077,0.8209429
0.82333255,0.8407311,0.80663955
0.81890035,0.82195693,0.81586635
0.8075411,0.8144114,0.8007857
0.8304467,0.8334046,0.82750964
0.82079357,0.82586306,0.8157859
0.8274497,0.8279161,0.8269838
0.8128706,0.81450915,0.81123865
0.80540806,0.8113538,0.7995489
0.80723715,0.8038747,0.81062794
0.81734496,0.81824565,0.8164461
0.8306631,0.83887017,0.822615
0.8142728,0.81606615,0.8124873
